7.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.010000000000000000e+02,6.889368800000000154e-03,1.774490000000000095e-03
7.020000000000000000e+02,-1.375973000000000116e-04,2.396859999999999789e-03
7.030000000000000000e+02,-3.833759400000000088e-03,-6.286139999999999957e-03
7.040000000000000000e+02,3.003421999999999949e-03,-3.752950000000000123e-03
7.050000000000000000e+02,9.124152400000000093e-03,7.608010000000000120e-03
7.052500000000000000e+02,1.246918619999999936e-02,8.921600000000000016e-03
7.055019999999999527e+02,4.745277200000000423e-06,9.552210000000000215e-03
7.057539999999999054e+02,4.104207999999999815e-03,1.243660000000000078e-02
7.060060000000000855e+02,2.800344600000000128e-02,1.505910000000000061e-02
7.062580000000000382e+02,3.296654200000000146e-02,1.280910000000000035e-02
7.065099999999999909e+02,4.250816200000000211e-02,1.512299999999999929e-02
7.067619999999999436e+02,6.557237000000000482e-02,2.919160000000000157e-02
7.070139999999998963e+02,7.348659000000000441e-02,3.330530000000000296e-02
7.072660000000000764e+02,1.000809919999999936e-01,3.043250000000000122e-02
7.075180000000000291e+02,1.561447639999999915e-01,3.306429999999999786e-02
7.077699999999999818e+02,1.891544400000000070e-01,4.363609999999999711e-02
7.080219999999999345e+02,3.151420600000000016e-01,3.670140000000000208e-02
7.082739999999998872e+02,4.066761999999999877e-01,3.548939999999999734e-02
7.085260000000000673e+02,4.851310999999999818e-01,1.593479999999999897e-02
7.087780000000000200e+02,4.697292599999999818e-01,1.394650000000000056e-02
7.090299999999999727e+02,3.995883199999999968e-01,8.078270000000000242e-03
7.092819999999999254e+02,4.070901599999999787e-01,8.323580000000000562e-03
7.095339999999999918e+02,5.511877400000000371e-01,1.203949999999999985e-02
7.097860000000000582e+02,7.302586199999999694e-01,3.177060000000000214e-03
7.100380000000000109e+02,8.600761599999999785e-01,-9.056500000000000314e-03
7.102899999999999636e+02,1.006938740000000054e+00,-5.124859999999999832e-02
7.105419999999999163e+02,9.170778200000000435e-01,-7.174850000000000672e-02
7.107939999999999827e+02,7.344772200000000417e-01,-9.126950000000000340e-02
7.110460000000000491e+02,5.723344599999999893e-01,-9.778520000000000267e-02
7.112980000000000018e+02,4.603014000000000272e-01,-1.008379999999999971e-01
7.115499999999999545e+02,3.773830000000000240e-01,-9.889950000000000130e-02
7.118020000000000209e+02,3.377360600000000046e-01,-1.058680000000000038e-01
7.120539999999999736e+02,2.905209200000000158e-01,-1.024430000000000063e-01
7.130000000000000000e+02,2.224197599999999941e-01,-8.216070000000000317e-02
7.140000000000000000e+02,2.034313199999999988e-01,-7.992470000000000130e-02
7.150000000000000000e+02,1.641256600000000065e-01,-7.545330000000000092e-02
7.160000000000000000e+02,1.312205800000000033e-01,-7.482569999999999499e-02
7.170000000000000000e+02,1.208913300000000052e-01,-5.592169999999999780e-02
7.175000000000000000e+02,1.244357440000000009e-01,-5.561239999999999933e-02
7.180000000000000000e+02,1.089441599999999982e-01,-5.448120000000000046e-02
7.185000000000000000e+02,1.127589120000000028e-01,-5.183310000000000001e-02
7.190000000000000000e+02,1.193445100000000009e-01,-4.183230000000000282e-02
7.195000000000000000e+02,1.414883680000000032e-01,-5.836700000000000221e-02
7.200000000000000000e+02,1.428974120000000014e-01,-5.210809999999999748e-02
7.205000000000000000e+02,1.534307980000000071e-01,-4.551999999999999796e-02
7.210000000000000000e+02,1.947808199999999934e-01,-4.511609999999999926e-02
7.215000000000000000e+02,2.295218599999999942e-01,-5.532310000000000005e-02
7.220000000000000000e+02,2.618486600000000109e-01,-6.362379999999999425e-02
7.225000000000000000e+02,2.194067000000000101e-01,-5.076309999999999850e-02
7.230000000000000000e+02,2.330183999999999866e-01,-6.579740000000000588e-02
7.235000000000000000e+02,2.234957399999999983e-01,-6.745080000000000520e-02
7.240000000000000000e+02,2.251563199999999931e-01,-6.605479999999999685e-02
7.245000000000000000e+02,2.097465799999999880e-01,-6.733580000000000121e-02
7.250000000000000000e+02,1.602957399999999921e-01,-7.982039999999999969e-02
7.255000000000000000e+02,1.552765540000000111e-01,-6.564119999999999677e-02
7.260000000000000000e+02,1.433434460000000132e-01,-7.331010000000000304e-02
7.265000000000000000e+02,1.175557920000000062e-01,-8.187289999999999845e-02
7.270000000000000000e+02,1.363686940000000125e-01,-7.489959999999999674e-02
7.275000000000000000e+02,1.278092020000000106e-01,-8.176579999999999959e-02
7.280000000000000000e+02,1.081184520000000038e-01,-7.749250000000000582e-02
7.285000000000000000e+02,9.837759399999999876e-02,-8.384179999999999411e-02
7.290000000000000000e+02,9.704897199999999724e-02,-6.715859999999999885e-02
7.295000000000000000e+02,8.956182599999999716e-02,-7.562770000000000603e-02
7.300000000000000000e+02,8.488344600000000129e-02,-6.745760000000000645e-02
